Locality,id,Taxon,MaxAge,MinAge,Rotated Lat,Rotated Lon,Area
West Virginia,3422,Edaphosaurus,303.7,298.9,-0.4818,-24.8936,1
Texas,3421,Ophiacodon,290.1,283.5,-2.9808,-38.7628,1
Rio Grande do Sul,3420,Therioherpeton,237.0,208.5,-49.4771,-10.0175,1
Utah,3419,Ophiacodon,298.9,290.1,5.8574,-44.6091,1
Texas,3418,Adelobasileus,227.0,208.5,-1.4701,-41.4649,1
La Rioja,3417,Massetognathus,242.0,237.0,-49.9808,-33.9335,1
Oklahoma,3416,Ophiacodon,303.7,298.9,-0.5219,-37.7808,1
Texas,3415,Edaphosaurus,298.9,286.1,-2.7466,-38.9219,1
Texas,3414,Ophiacodon,290.1,283.5,-0.73,-37.6741,1
Texas,3413,Dimetrodon,290.1,283.5,-0.73,-37.6741,1
Western Cape,3401,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3402,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3403,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3404,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3405,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3406,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3407,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3408,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3409,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3410,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3411,Diictodon,259.51,254.14,-60.8508,-19.3342,1
Western Cape,3412,Diictodon,259.51,254.14,-60.8508,-19.3342,1
San Juan,3399,Ischigualastia,237.0,227.0,-52.0012,-29.5316,1
San Juan,3398,Exaeretodon,237.0,227.0,-52.0012,-29.5316,1
La Rioja,3397,Dinodontosaurus,242.0,237.0,-49.9808,-33.9335,1
La Rioja,3396,Jachaleria,242.0,237.0,-49.9808,-33.9335,1
La Rioja,3395,Dinodontosaurus,242.0,237.0,-49.9808,-33.9335,1
La Rioja,3394,Chiniquodon,242.0,237.0,-49.9808,-33.9335,1
La Rioja,3393,Massetognathus,242.0,237.0,-49.9808,-33.9335,1
La Rioja,3392,Probainognathus,242.0,237.0,-49.9808,-33.9335,1
Oklahoma,3387,Cotylorhynchus,273.01,264.28,2.6894,-35.9903,1
Oklahoma,3386,Cotylorhynchus,273.01,264.28,2.6894,-35.9903,1
Oklahoma,3385,Angelosaurus,273.01,264.28,2.6894,-35.9903,1
Oklahoma,3384,Cotylorhynchus,273.01,264.28,2.6894,-35.9903,1
Oklahoma,3383,Varanodon,273.01,264.28,2.6894,-35.9903,1
Oklahoma,3382,Cotylorhynchus,273.01,264.28,2.6894,-35.9903,1
Oklahoma,3381,Angelosaurus,273.01,264.28,2.6894,-35.9903,1
Tatarstan,3380,Ulemosaurus,266.9,259.51,40.1271,34.4515,1
Tatarstan,3379,Ulemica,266.9,259.51,40.1271,34.4515,1
Arkhangelsk,3377,Elph,264.28,256.8,44.0349,28.9755,1
