genus	lat_range_z_trans	Arctic	Temperate_N	Tropical	Temperate_S	Antarctic
Abyssomedon	-0.3368251980293161	0	0	1	0	0
Acadiella	-0.3368251980293161	0	0	1	0	0
Acaenasuchus	-0.3368251980293161	0	0	1	0	0
Acallosuchus	-0.3368251980293161	0	0	1	0	0
Acerosodontosaurus	-0.3368251980293161	0	0	0	1	0
Acleistorhinus	-0.3368251980293161	0	0	1	0	0
Acrodenta	-0.3368251980293161	0	0	1	0	0
Actiosaurus	-0.3368251980293161	0	1	0	0	0
Adamanasuchus	-0.3368251980293161	0	0	1	0	0
Adelosaurus	-0.3368251980293161	0	1	0	0	0
Aenigmasaurus	-0.3368251980293161	0	0	0	1	0
Aenigmaspina	-0.3368251980293161	0	1	0	0	0
Aenigmastropheus	-0.3368251980293161	0	0	0	1	0
Aetobarbakinoides	-0.3368251980293161	0	0	0	1	0
Aetosauroides	0.1061739155954126	0	0	0	1	0
Aetosaurus	1.1493080195208365	0	1	1	0	0
Agkistrognathus	-0.3368251980293161	0	1	0	0	0
Agnosphitys	-0.3368251980293161	0	1	0	0	0
Ahvaytum	-0.3368251980293161	0	0	0	1	0
Alexeyisaurus	-0.3368251980293161	0	1	0	0	0
Alwalkeria	-0.3368251980293161	0	0	0	1	0
Amanasaurus	-0.0838322209974644	0	0	0	1	0
Ammorhynchus	-0.2657487280439065	0	0	1	0	0
Ammosaurus	-0.3368251980293161	0	1	0	0	0
Amotosaurus	-0.0291305077918702	0	1	1	0	0
Anarosaurus	-0.1889839302894337	0	1	0	0	0
Ancistronychus	-0.3368251980293161	0	0	1	0	0
Angistorhinus	0.2922898213581375	0	0	1	0	0
Anisodontosaurus	-0.2657487280439065	0	0	1	0	0
Anomoepus	-0.3368251980293161	0	1	0	0	0
Anomoiodon	0.7576238493921822	0	1	1	0	0
Anshunsaurus	0.2826261983052262	0	1	1	0	0
Antarctanax	-0.3368251980293161	0	0	0	0	1
Anthodon	0.8206061731345001	0	0	0	1	0
Apachesuchus	-0.3368251980293161	0	0	1	0	0
Apatopus	1.6036339544639164	0	1	1	0	0
Apatosuchus	-0.3368251980293161	0	1	0	0	0
Aphelosaurus	-0.3368251980293161	0	0	1	0	0
Araeoscelis	-0.2016785579118963	0	0	1	0	0
Archeopelta	-0.3368251980293161	0	0	0	1	0
Archosaurus	-0.0870616591067867	0	1	0	0	0
Arcticodactylus	-0.3368251980293161	0	1	0	0	0
Arganaceras	-0.3368251980293161	0	0	1	0	0
Arganasuchus	-0.3368251980293161	0	0	1	0	0
Arizonasaurus	-0.2164553826929566	0	0	1	0	0
Asilisaurus	-0.3368251980293161	0	0	0	1	0
Askeptosaurus	-0.1745681401277746	0	0	1	0	0
Asperoris	-0.3368251980293161	0	0	0	1	0
Asylosaurus	-0.3368251980293161	0	1	0	0	0
Atopodentatus	-0.3368251980293161	0	0	1	0	0
Augustaburiania	0.8833837399617278	0	1	0	0	0
Augustasaurus	-0.3368251980293161	0	0	1	0	0
Australothyris	-0.3368251980293161	0	0	0	1	0
Austriadactylus	-0.3368251980293161	0	1	0	0	0
Austriadraco	-0.3368251980293161	0	1	0	0	0
Avalonnectes	-0.3368251980293161	0	1	0	0	0
Avicranium	-0.3368251980293161	0	0	1	0	0
Azendohsaurus	-0.3368251980293161	0	0	1	0	0
Baeotherates	-0.3368251980293161	0	0	1	0	0
Baisesaurus	-0.3368251980293161	0	0	1	0	0
Barasaurus	0.4382693067362536	0	0	0	1	0
Barberenasuchus	-0.3368251980293161	0	0	0	1	0
Barracudasauroides	-0.3368251980293161	0	0	1	0	0
Barracudasaurus	-0.1495667185690786	0	0	1	0	0
Bashkyroleter	-0.2829906905817497	0	1	0	0	0
Batrachopus	-0.3368251980293161	0	0	1	0	0
Batrachotomus	-0.3368251980293161	0	1	0	0	0
Beesiiwo	-0.3368251980293161	0	0	1	0	0
Belebey	-0.1143327207353211	0	1	0	0	0
Benggwigwishingasuchus	-0.3368251980293161	0	0	1	0	0
Bentonyx	-0.3368251980293161	0	0	1	0	0
Bergamodactylus	-0.3368251980293161	0	0	1	0	0
Besanosaurus	-0.3368251980293161	0	0	1	0	0
Blezingeria	-0.3368251980293161	0	1	0	0	0
Blikanasaurus	-0.3368251980293161	0	0	0	1	0
Blomosaurus	-0.3368251980293161	0	1	0	0	0
Bobosaurus	-0.3368251980293161	0	1	0	0	0
Bolosaurus	-0.1673864042484132	0	0	1	0	0
Boreopricea	-0.3368251980293161	0	1	0	0	0
Bradysaurus	-0.3368251980293161	0	0	0	1	0
Brasinorhynchus	-0.3368251980293161	0	0	0	1	0
Brazilosaurus	0.2137668994301632	0	0	0	1	0
Bromsgroveia	-0.2499804130684901	0	1	1	0	0
Broomia	-0.1538380080404757	0	0	0	1	0
Bunostegos	-0.3368251980293161	0	0	1	0	0
Buriolestes	-0.0838322209974644	0	0	0	1	0
Bystrowisuchus	-0.3368251980293161	0	1	0	0	0
Callawayia	0.1850256530399725	0	1	1	0	0
Calyptosuchus	-0.1037984291236119	0	0	1	0	0
Camelotia	-0.1930286321452354	0	1	0	0	0
Camposaurus	-0.3368251980293161	0	0	1	0	0
Candelaria	-0.3368251980293161	0	0	0	1	0
Captorhinikos	-0.1709164134645628	0	0	1	0	0
Captorhinoides	-0.3368251980293161	0	0	1	0	0
Captorhinus	3.374786388914307	0	0	1	1	0
Cargninia	-0.3368251980293161	0	0	0	1	0
Carnufex	-0.3368251980293161	0	0	1	0	0
Cartorhynchus	-0.3368251980293161	0	1	0	0	0
Caseosaurus	-0.3368251980293161	0	0	1	0	0
Ceresiosaurus	0.3918150816252362	0	0	1	0	0
Chalishevia	-0.3368251980293161	0	1	0	0	0
Chanaresuchus	-0.3368251980293161	0	0	0	1	0
Chaohusaurus	0.8905381874654562	0	1	1	0	0
Chasmatosuchus	-0.042486379804829	0	1	0	0	0
Chelyoposuchus	-0.3368251980293161	0	1	0	0	0
Chinchenia	-0.3368251980293161	0	0	1	0	0
Chindesaurus	-0.1498702405843884	0	0	1	0	0
Chinshakiangosaurus	-0.3368251980293161	0	1	0	0	0
Chirotherium	-0.3368251980293161	0	1	0	0	0
Chromogisaurus	-0.3368251980293161	0	0	0	1	0
Cladeiodon	-0.3368251980293161	0	1	0	0	0
Clarazia	-0.3368251980293161	0	0	1	0	0
Claudiosaurus	-0.3368251980293161	0	0	0	1	0
Clevosaurus	7.312826904844529	0	1	0	1	0
Coahomasuchus	-0.2650327488177627	0	0	1	0	0
Coartaredens	-0.3368251980293161	0	0	1	0	0
Coburgosuchus	-0.3368251980293161	0	1	0	0	0
Coelodontognathus	-0.3368251980293161	0	1	0	0	0
Coelophysis	1.2802627887497342	0	0	1	0	0
Coelurosauravus	5.514311418710368	0	1	0	1	0
Coletta	-0.3368251980293161	0	0	0	1	0
Collilongus	-0.3368251980293161	0	1	0	0	0
Colobomycter	-0.3368251980293161	0	0	1	0	0
Colobops	-0.3368251980293161	0	0	1	0	0
Coloradisaurus	-0.3368251980293161	0	0	0	1	0
Coloradisuchus	-0.3368251980293161	0	0	0	1	0
Concavispina	-0.3368251980293161	0	1	0	0	0
Contectopalatus	-0.3368251980293161	0	0	1	0	0
Cornualbus	-0.3368251980293161	0	0	0	1	0
Corosaurus	-0.3368251980293161	0	0	1	0	0
Cosesaurus	-0.3368251980293161	0	0	1	0	0
Crosbysaurus	-0.1239093973775966	0	0	1	0	0
Ctenosauriscus	-0.3368251980293161	0	1	0	0	0
